"Patch","Lat","Lon","AREA","Road","X","Y"
"2818",60.08,20.22,442.0449438,0,123.17105497,6679.6236028
"2819",60.08,20.22,411.7572085,0,123.29738091,6679.4260987
"2820",60.08,20.22,4778.549975,1,123.39052201,6679.4231024
"2821",60.08,20.22,1936.288957,1,123.07114477,6679.6436763
"2822",60.08,20.22,740.9699064,1,122.99505558,6679.735833
"2823",60.08,20.22,0,0,NA,NA
"2824",60.08,20.22,698.1743443,1,123.29009688,6679.921975
"2825",NA,NA,NA,0,NA,NA
"2826",60.08,20.22,319.3592139,1,123.33749845,6680.0370671
"2827",60.08,20.22,1345.302574,1,122.97448512,6679.5375064
"2828",60.08,20.22,5096.190853,1,122.95653209,6679.4456849
"2829",60.08,20.22,21608.99267,1,122.93013311,6679.3024711
"2832",60.08,20.21,927.6082898,1,122.51678156,6679.3530202
"2833",60.08,20.21,503.1722193,1,122.39882058,6679.3700654
"2834",60.08,20.2,1099.782789,1,122.28886572,6679.3576618
"2835",60.08,20.21,169.8317361,1,122.43470522,6679.2562294
"2836",60.08,20.21,4064.131772,1,122.53442127,6679.4891742
"2838",60.08,20.2,213.2628485,0,122.18513085,6679.5074025
"2839",NA,NA,NA,0,NA,NA
"2840",60.08,20.2,377.6049599,0,122.01739514,6680.2133036
"2841",NA,NA,NA,0,NA,NA
"2844",60.07,20.19,6791.984802,0,121.67373708,6679.0341063
"2845",60.07,20.19,2232.644077,0,121.65550627,6679.1288806
"2846",60.07,20.2,479.7407108,1,121.90213387,6679.0225316
"2847",60.06,20.22,908.024513,0,122.94794728,6677.6392881
"2848",60.06,20.21,2802.821017,1,122.30133267,6677.5234821
"2849",60.06,20.21,19.54991845,1,122.18763258,6677.4902476
"2850",60.08,20.19,421.9739962,1,121.34054839,6679.4030762
"2851",60.08,20.19,178.4178985,1,121.44274921,6679.9269191
"2852",60.08,20.19,221.642644,0,121.40557415,6679.9756109
"2853",NA,NA,NA,0,NA,NA
"2854",NA,NA,352.9091631,0,127.63141923,6669.2786157
"2855",NA,NA,NA,0,127.66015544,6669.3178219
"2856",NA,NA,2484.003916,1,127.76933556,6669.3631111
"2858",NA,NA,NA,0,127.83008297,6670.1374939
"2859",NA,NA,NA,0,127.91005203,6669.9175825
"2860",NA,NA,206.5219035,1,128.0173167,6669.2562351
"2861",NA,NA,549.2102592,1,127.96556795,6669.5245617
"2862",NA,NA,NA,0,NA,NA
"2863",NA,NA,NA,0,NA,NA
"2864",NA,NA,NA,0,128.5397999,6669.8076299
"2866",NA,NA,588.6479107,0,129.66938527,6669.4662497
"2867",NA,NA,51.36494131,1,129.57060116,6669.2340292
"2868",NA,NA,85.55079191,0,129.54672882,6669.4084991
"2869",NA,NA,NA,0,NA,NA
"2870",NA,NA,39.99139271,0,129.70636589,6670.2759161
"2871",NA,NA,396.2843426,1,129.80183666,6670.1236067
